19301-01045	450732.97	6535355.06	455538.94	6534608.97
19301-01046	441397.19	6537310.35	455615.64	6535103.05
19301-01047	450849.06	6536096.02	455653.99	6535350.09
19301-01048	441473.89	6537804.43	455692.34	6535597.13
19301-01052	450926.46	6536589.99	455730.69	6535844.17
19301-01054	450945.81	6536713.49	455749.87	6535967.69
19301-01056	441550.60	6538298.51	455769.05	6536091.21
19301-01058	450984.51	6536960.47	455788.22	6536214.73
19301-01060	441588.95	6538545.55	446697.76	6537752.45
19301-01064	441627.30	6538792.60	446736.11	6537999.50
19301-01067	441646.47	6538916.12	446755.28	6538123.02
19301-01070	441665.65	6539039.64	446774.46	6538246.54
19301-01073	441684.82	6539163.16	446793.63	6538370.06
19301-01076	441704.00	6539286.68	446812.81	6538493.58
19301-01079	441723.18	6539410.20	446831.99	6538617.10
19301-01082	441742.35	6539533.72	446851.16	6538740.62
19301-01089	441780.70	6539780.76	446889.51	6538987.66
19301-01090	441819.05	6540027.80	456037.50	6537820.50
19301-01091	441857.40	6540274.84	456075.86	6538067.54
19301-01092	441934.11	6540768.92	456152.56	6538561.62
19301-01093	442010.81	6541263.00	456229.26	6539055.70
19301-03027	441650.08	6536765.10	442417.10	6541705.92
19301-03028	442144.16	6536688.40	442911.18	6541629.22
19301-03029	442638.24	6536611.70	443405.27	6541552.52
19301-03030	443132.33	6536535.00	443899.35	6541475.81
19301-03031	443379.37	6536496.64	444146.39	6541437.46
19301-03032	443626.41	6536458.29	444393.43	6541399.11
19301-03036	443873.45	6536419.94	444640.47	6541360.76
19301-03038	443996.97	6536400.77	444763.99	6541341.58
19301-03040	444120.49	6536381.59	444887.51	6541322.41
19301-03042	444244.01	6536362.42	445011.03	6541303.23
19301-03044	444367.53	6536343.24	445134.55	6541284.06
19301-03048	444614.57	6536304.89	445381.59	6541245.71
19301-03049	444861.61	6536266.54	445628.63	6541207.36
19301-03050	445108.65	6536228.19	445875.67	6541169.00
19301-03051	445602.73	6536151.48	446369.76	6541092.30
19301-03052	446096.82	6536074.78	446863.84	6541015.60
19301-03053	449586.08	6535533.10	450353.10	6540473.92
19301-03054	450080.16	6535456.40	450847.18	6540397.22
19301-03055	450574.24	6535379.70	451341.27	6540320.52
19301-03056	450991.62	6534808.92	451835.35	6540243.81
19301-03057	451238.66	6534770.56	452082.39	6540205.46
19301-03058	452329.43	6540167.11	451485.71	6534732.21
19301-03062	452576.47	6540128.76	451732.75	6534693.86
19301-03064	452699.99	6540109.58	451856.27	6534674.69
19301-03066	452823.51	6540090.41	451979.79	6534655.51
19301-03068	452103.31	6534636.33	452947.03	6540071.23
19301-03070	452226.83	6534617.16	453070.55	6540052.06
19301-03072	452350.35	6534597.98	453194.07	6540032.88
19301-03074	452473.87	6534578.81	453317.59	6540013.71
19301-03076	452597.39	6534559.63	453441.11	6539994.53
19301-03078	452720.91	6534540.46	453564.63	6539975.36
19301-03080	452868.31	6534517.57	453712.03	6539952.47
19301-03082	453835.55	6539933.30	452991.83	6534498.40
19301-03084	453115.35	6534479.22	453959.07	6539914.12
19301-03086	454082.59	6539894.95	453238.87	6534460.05
19301-03088	453362.39	6534440.87	454206.11	6539875.77
19301-03090	453485.91	6534421.70	454329.63	6539856.59
19301-03092	453609.43	6534402.52	454453.16	6539837.42
19301-03094	454576.68	6539818.24	453732.95	6534383.34
19301-03098	453979.99	6534344.99	454823.72	6539779.89
19301-03099	454227.03	6534306.64	455070.76	6539741.54
19301-03100	454721.11	6534229.94	455564.84	6539664.84
19301-03101	455215.20	6534153.24	456058.92	6539588.14
19301-03102	444491.05	6536324.07	445258.07	6541264.89
19301-01094	455903.28	6536955.86	449702.55	6537918.47
19301-01095	455922.45	6537079.38	449721.72	6538041.99
19301-01096	455927.00	6537205.17	449741.10	6538165.48
19301-01097	455807.40	6536338.26	449606.67	6537300.87
19301-01098	455845.75	6536585.30	449645.02	6537547.91
19301-01099	455864.92	6536708.82	449664.19	6537671.43
19301-01100	455884.10	6536832.34	449683.37	6537794.95
19301-01101	455960.80	6537326.42	449760.07	6538289.03
19301-01102	455999.15	6537573.46	449798.42	6538536.07
